0,1,2,3,4,5,Delta_0,Delta_1,Delta_2,Delta_3,Delta_4,Delta_5
1.1717325218245696,,,,-0.9817734402701063,0.4257160474510056,1,0,0,0,1,1
,,,1.790132779072337,-0.514266578983585,2.280706640119144,0,0,0,1,1,1
1.3420914826830632,,,,-0.1179257087608544,3.0405964033559427,1,0,0,0,1,1
,0.07234165611784754,,,-2.9690775221349193,-0.6658713000463998,0,1,0,0,1,1
1.9290847563485625,-1.6362001120970642,0.2870080646026265,0.3163925672064165,1.8397004368996788,4.322398209202739,1,1,1,1,1,1
,-0.1542954409019508,,2.8303405381613675,-0.5751513669272279,3.3797368807052073,0,1,0,1,1,1
,,,0.7867847034208748,0.6683956683339393,3.3237702538019724,0,0,0,1,1,1
3.46030628632577,-1.997922494857512,0.46097266251096103,,,9.883616016283893,1,1,1,0,0,1
-1.4371113554983088,,0.211411352567067,-2.0886659412626596,,-3.4340383965949095,1,0,1,1,0,1
,,-2.564302652509083,5.038954919304083,,0.8463867292923722,0,0,1,1,0,1
,,-1.3267889819498566,0.5997215747518854,,-4.514282819465467,0,0,1,1,0,1
,,-1.782674057685429,2.328939197376867,,-1.8642820619350322,0,0,1,1,0,1
1.9114451952874498,,-2.4837936605390345,,-1.842042901973647,3.9530024514370963,1,0,1,0,1,1
,,,0.0501922121527999,,2.234826247572083,0,0,0,1,0,1
,-0.6289461037912843,,-0.47880562359500545,-0.3871651156937641,2.1508564706911946,0,1,0,1,1,1
,,,1.5180312890235665,-3.646038066885482,-0.7934422668919692,0,0,0,1,1,1
,-0.2998630499186698,-0.8711809145377966,0.9755371232105287,-2.145801159358165,-0.46148785603722275,0,1,1,1,1,1
,,0.10341049098371402,-1.7023158506847826,-2.7842951217031824,-5.416134848233699,0,0,1,1,1,1
,,,,0.3869706179627238,2.5921356079137245,0,0,0,0,1,1
,-0.7248031549753781,,,0.062306800014539365,0.41582370329565665,0,1,0,0,1,1
,-1.0018808553981549,,,0.7569189864967792,3.211737853009277,0,1,0,0,1,1
1.7946660274938928,-0.8654409244762208,,,-0.6277545394901338,1.5975928910499615,1,1,0,0,1,1
-1.1213954603346097,,,3.94060594305537,,-1.9897182864228173,1,0,0,1,0,1
-0.5870230486928002,0.7900125811063952,-2.3133658735036122,3.8388228065613808,,-1.9751554600109027,1,1,1,1,0,1
,,,,,5.370804891936926,0,0,0,0,0,1
,,,-0.70941011277362,,-2.112282349536391,0,0,0,1,0,1
,,,-0.3478253599121294,-1.1839536755309956,-0.08505831049304194,0,0,0,1,1,1
,,0.10266516612588372,1.6661021922811465,,4.546396429709922,0,0,1,1,0,1
,0.47242054709502995,,2.959164914835395,,2.6520072932794965,0,1,0,1,0,1
,,,-3.431405534235009,,-3.6971338985534823,0,0,0,1,0,1
1.1538610553336905,,-0.5990113718353166,1.9061465220107432,,1.5944965924540917,1,0,1,1,0,1
,,-0.32505841932403595,-0.4047189194388209,-2.779168803448494,-1.6277307630594038,0,0,1,1,1,1
,,-0.2081576163029436,,,0.7826636881929404,0,0,1,0,0,1
,-0.4590748595624904,,1.6254409784670059,,0.054936864636504046,0,1,0,1,0,1
-0.5341288262662264,-1.0333842338344874,1.4599611155400254,-3.6192772244970843,,-2.974721649298441,1,1,1,1,0,1
2.394515931779722,0.042012688891574446,-2.2230411371531007,,-1.3386057694600297,4.572710729844426,1,1,1,0,1,1
-0.4520616461250261,-0.021670257438811846,-0.371995239434366,-0.25060606982099876,-2.745854661454835,-2.5881824128315363,1,1,1,1,1,1
,-1.3506450102678347,,,1.520147648488741,4.347018315093485,0,1,0,0,1,1
,-2.289925164608634,,,1.8443533312672908,-0.5360045016011779,0,1,0,0,1,1
4.804997284550214,,,,,11.448829687902379,1,0,0,0,0,1
3.3189432865194486,,,2.625863677180747,,6.229968427662505,1,0,0,1,0,1
,,,-2.908427129488333,,-5.630895448032018,0,0,0,1,0,1
,-0.18189581096127194,,,-1.5062807666616673,4.571749468522753,0,1,0,0,1,1
,0.48425805896163204,,,,1.9515499749582192,0,1,0,0,0,1
-1.7686858601252444,,-0.9231618798602461,0.5127652745946041,-5.044406601179904,-4.584975711441825,1,0,1,1,1,1
,,,,,0.1446335224563482,0,0,0,0,0,1
0.14640664344878884,-0.3100737831734256,-0.6343991547053198,,,-1.1619648988809979,1,1,1,0,0,1
0.26200609614779635,0.18544323652652023,,,,-0.7246599316323441,1,1,0,0,0,1
,,-1.271157061815134,1.9173336260062188,-2.0876740620517356,-0.3953961390106639,0,0,1,1,1,1
0.01773845361641002,-1.7894988361760042,,-3.0546180349356327,,-2.4155525037620764,1,1,0,1,0,1
,-2.014756627296841,1.4895325162248336,,,3.1575875194222642,0,1,1,0,0,1
2.799276000620861,-0.537422453437389,,,,7.254041898699662,1,1,0,0,0,1
,,,2.687048072026289,-2.3681307193649386,1.9790872819272862,0,0,0,1,1,1
,,0.9849104392982544,,,-1.9993400953180631,0,0,1,0,0,1
0.20183906988815548,-1.0925274051906646,,,,-0.7093966950767947,1,1,0,0,0,1
,-0.940666508185872,,,1.893740696523024,6.502862095567483,0,1,0,0,1,1
1.432508311485833,-0.7276748794811672,-0.13627873637588095,1.121106879152825,,3.5674769465576466,1,1,1,1,0,1
2.6740285596807394,,,0.17882428118134042,,3.182584034126406,1,0,0,1,0,1
0.6807700364633273,,0.5656059666175333,-0.46555259164032725,-0.18602049142927501,0.5137912845821202,1,0,1,1,1,1
-2.1817817067261274,0.7205242796439226,-0.6596692312107628,-0.534382957174172,,-7.582136615567072,1,1,1,1,0,1
,0.26822169415524105,-1.218712589618125,,,2.245962444611075,0,1,1,0,0,1
,,,,,4.405701183268701,0,0,0,0,0,1
