,0,1,2,3,4,5,6,7
0,0.18977470945732466,,-0.5764381374236429,1.9253700697652587,,,0.9534271195978195,-6.623243792511458
1,0.6671992809914106,0.2760423675001089,-2.6157362580540133,0.3446784143719194,,1.78989399171581,,
2,-2.995094427872783,-2.218874137157491,-1.3431919450156418,,-2.171867878976246,4.25776269080128,,
3,,,-3.989904090390233,,,2.241659778324877,-3.139382600837043,2.2049719991034338
4,,0.10943095658018429,-2.73352998303912,1.3980579851479291,3.2118470850036394,-0.9607541883931712,-0.6711176560563608,
5,,0.7090929719689014,-3.12000853846681,,,0.7235439869333973,-1.1466810507490268,
6,,-2.5762165194838467,-0.7268764235982548,2.467883053752099,,,2.206631347833147,
7,-3.0235335617538093,-1.0648761859505587,,,1.6994497505436514,3.6617537528639303,,0.6032427757324375
8,-1.5782406183132,0.8338496978079787,,,5.702622122977262,3.4754102544852667,,5.095418777265768
9,-3.0535593170631365,-2.1821929353150713,-1.3856441737056455,,,0.013702160575586264,,-1.3867866792091577
10,-1.6118109237659124,,-3.305204317690533,,,,,3.5476230920101615
11,-0.9921275162798902,,-3.097601859464376,,,,0.007565082675712376,
12,,-1.3008824532762335,,,-4.0294341298337235,,-1.2379655220095063,
13,,-0.308707434963135,-2.316548528474549,,,2.4615219805816326,,
14,,,,-0.9279064031249966,4.299666210752369,,-3.397421076532318,
15,-0.26029605698549324,,,1.3630287255598603,,-2.7761187508901655,,1.7299607889784072
16,,-0.7402273972017747,-3.1875233609632994,,2.367253549173318,2.496383572510885,,3.610470984815551
17,-1.117335108879069,0.40172400067744607,,1.7888055011948332,-1.9461890495254521,,-0.22924792098168736,
18,1.1766513649670451,3.051081726174447,,,0.4582645922814532,2.0825351256151574,-2.299059261905927,1.5886833584700695
19,,-0.07941033360157394,,,-1.2966642140893228,,-0.3049123051995894,0.05599784999937868
20,,1.216321754782202,,,,,,1.637570687284014
21,-0.47645032284238403,,-3.3418323320693393,0.04160032200282271,,,,
22,-1.1740633979889177,,-2.596715733122247,1.1306288812566543,0.4755390635867729,,,1.107425051785706
23,1.7588541861125684,0.10765723269638243,-1.3511231509687291,,,,-0.39375132096730975,
24,-1.1597539346768815,,,1.0888569116011646,,4.9202262751569315,-0.18916701133539238,0.9844747741303013
25,,1.3450678243308025,,,-0.8834186791420158,3.117491617151667,,-0.4759676756742053
26,0.7708997021054286,,,1.829535353398394,-2.419070819842541,0.22029126351581896,,0.9197272919101693
27,,-0.0733711811301376,,,,-1.5671297585786157,0.19268954916920195,
28,2.1722933090631886,,,,,2.0322612001551206,,2.2681855915280784
29,,-2.475589418635646,-1.4022756392530364,,-4.321889629943937,4.111193008016246,1.9679351317071128,
30,,0.2720348335313768,,0.5854711022666892,-1.5577298054103903,0.856716523219735,-0.16147960685962498,-0.4714838313092612
31,-0.6665125262150394,-1.3917891529515196,-3.0445531107760493,,0.663889936511578,6.492351372076706,-1.2398955713624775,
32,-1.6919754940615461,,-1.9844437071897354,2.004887429698628,1.0174447622456808,,,
33,-0.855725344326502,,,0.8929267205021912,,-2.7271987434800193,,-4.62873784435333
34,,,-1.4252541582255662,2.818897833475285,,,,0.5590571681902461
